CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
NSA	Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)	Données non ajustées (c.à.d. ni désaisonnalisées ni corrigées des effets de calendrier)	Unbereinigte Daten (d.h. weder saisonbereinigte noch kalenderbereinigte Daten)	Y			
SA	Seasonally adjusted data, not calendar adjusted data	Données désaisonnalisées, données non corrigées des effets de calendrier	Saisonbereinigte Daten, nicht kalenderbereinigte Daten	Y			
CA	Calendar adjusted data, not seasonally adjusted data	Données corrigées des effets de calendrier, données non désaisonnalisées	Kalenderbereinigte Daten, nicht saisonbereinigte Daten	Y			
SCA	Seasonally and calendar adjusted data	Données désaisonnalisées et corrigées des effets de calendrier	Saison- und kalenderbereinigte Daten	Y			
TC	Trend cycle data	Données tendance-cycle	Trend-Zyklus Daten	Y			
NAP	Not applicable	Non applicable	Nicht anwendbar	Y			
